,movie,year,run_time,genre,rating,about,keywords
24,the lord of the rings: the fellowship of the ring,2001,178 min,action  adventure  drama            ,8.8,a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middleearth from the dark lord sauron,a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middleearth from the dark lord sauron action  adventure  drama            
25,scarface,1983,170 min,crime  drama            ,8.3,in 1980 miami a determined cuban immigrant takes over a drug cartel and succumbs to greed,in 1980 miami a determined cuban immigrant takes over a drug cartel and succumbs to greed crime  drama            
26,the trial of the chicago 7,2020,129 min,drama  history  thriller            ,7.8,the story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 democratic national convention in chicago illinois,the story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 democratic national convention in chicago illinois drama  history  thriller            
27,forrest gump,1994,142 min,drama  romance            ,8.8,the presidencies of kennedy and johnson the vietnam war the watergate scandal and other historical events unfold from the perspective of an alabama man with an iq of 75 whose only desire is to be reunited with his childhood sweetheart,the presidencies of kennedy and johnson the vietnam war the watergate scandal and other historical events unfold from the perspective of an alabama man with an iq of 75 whose only desire is to be reunited with his childhood sweetheart drama  romance            
28,deadpool 2,2018,119 min,action  adventure  comedy            ,7.7,foulmouthed mutant mercenary wade wilson aka deadpool assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal timetraveling cyborg cable,foulmouthed mutant mercenary wade wilson aka deadpool assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal timetraveling cyborg cable action  adventure  comedy            
29,django unchained,2012,165 min,drama  western            ,8.4,with the help of a german bountyhunter a freed slave sets out to rescue his wife from a brutal plantationowner in mississippi,with the help of a german bountyhunter a freed slave sets out to rescue his wife from a brutal plantationowner in mississippi drama  western            
30,jurassic park,1993,127 min,action  adventure  sci-fi            ,8.1,a pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the parks cloned dinosaurs to run loose,a pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the parks cloned dinosaurs to run loose action  adventure  sci-fi            
31,thor: ragnarok,2017,130 min,action  adventure  comedy            ,7.9,imprisoned on the planet sakaar thor must race against time to return to asgard and stop ragnarök the destruction of his world at the hands of the powerful and ruthless villain hela,imprisoned on the planet sakaar thor must race against time to return to asgard and stop ragnarök the destruction of his world at the hands of the powerful and ruthless villain hela action  adventure  comedy            
32,guardians of the galaxy,2014,121 min,action  adventure  comedy            ,8.0,a group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe,a group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe action  adventure  comedy            
33,saw,2004,103 min,horror  mystery  thriller            ,7.6,two strangers awaken in a room with no recollection of how they got there and soon discover theyre pawns in a deadly game perpetrated by a notorious serial killer,two strangers awaken in a room with no recollection of how they got there and soon discover theyre pawns in a deadly game perpetrated by a notorious serial killer horror  mystery  thriller            
