,movie,year,run_time,genre,rating,about,keywords
161,oldboy,2003,120 min,action  drama  mystery            ,8.4,after being kidnapped and imprisoned for fifteen years oh daesu is released only to find that he must find his captor in five days,after being kidnapped and imprisoned for fifteen years oh daesu is released only to find that he must find his captor in five days action  drama  mystery            
162,the game,1997,129 min,drama  mystery  thriller            ,7.8,after a wealthy banker is given an opportunity to participate in a mysterious game his life is turned upside down when he becomes unable to distinguish between the game and reality,after a wealthy banker is given an opportunity to participate in a mysterious game his life is turned upside down when he becomes unable to distinguish between the game and reality drama  mystery  thriller            
163,black swan,2010,108 min,drama  thriller            ,8.0,a committed dancer struggles to maintain her sanity after winning the lead role in a production of tchaikovskys swan lake,a committed dancer struggles to maintain her sanity after winning the lead role in a production of tchaikovskys swan lake drama  thriller            
164,the blues brothers,1980,133 min,action  adventure  comedy            ,7.9,jake blues just released from prison puts together his old band to save the catholic home where he and his brother elwood were raised,jake blues just released from prison puts together his old band to save the catholic home where he and his brother elwood were raised action  adventure  comedy            
165,the handmaiden,2016,145 min,drama  romance  thriller            ,8.1,a woman is hired as a handmaiden to a japanese heiress but secretly she is involved in a plot to defraud her,a woman is hired as a handmaiden to a japanese heiress but secretly she is involved in a plot to defraud her drama  romance  thriller            
166,casino royale,2006,144 min,action  adventure  thriller            ,8.0,after earning 00 status and a licence to kill secret agent james bond sets out on his first mission as 007 bond must defeat a private banker funding terrorists in a highstakes game of poker at casino royale montenegro,after earning 00 status and a licence to kill secret agent james bond sets out on his first mission as 007 bond must defeat a private banker funding terrorists in a highstakes game of poker at casino royale montenegro action  adventure  thriller            
167,the lord of the rings: the two towers,2002,179 min,action  adventure  drama            ,8.7,while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against saurons new ally saruman and his hordes of isengard,while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against saurons new ally saruman and his hordes of isengard action  adventure  drama            
168,braveheart,1995,178 min,biography  drama  history            ,8.3,scottish warrior william wallace leads his countrymen in a rebellion to free his homeland from the tyranny of king edward i of england,scottish warrior william wallace leads his countrymen in a rebellion to free his homeland from the tyranny of king edward i of england biography  drama  history            
169,logan,2017,137 min,action  drama  sci-fi            ,8.1,in a future where mutants are nearly extinct an elderly and weary logan leads a quiet life but when laura a mutant child pursued by scientists comes to him for help he must get her to safety,in a future where mutants are nearly extinct an elderly and weary logan leads a quiet life but when laura a mutant child pursued by scientists comes to him for help he must get her to safety action  drama  sci-fi            
170,the imitation game,2014,114 min,biography  drama  thriller            ,8.0,during world war ii the english mathematical genius alan turing tries to crack the german enigma code with help from fellow mathematicians,during world war ii the english mathematical genius alan turing tries to crack the german enigma code with help from fellow mathematicians biography  drama  thriller            
171,ghostbusters,1984,105 min,action  comedy  fantasy            ,7.8,three former parapsychology professors set up shop as a unique ghost removal service,three former parapsychology professors set up shop as a unique ghost removal service action  comedy  fantasy            
172,brokeback mountain,2005,134 min,drama  romance            ,7.7,ennis and jack are two shepherds who develop a sexual and emotional relationship their relationship becomes complicated when both of them get married to their respective girlfriends,ennis and jack are two shepherds who develop a sexual and emotional relationship their relationship becomes complicated when both of them get married to their respective girlfriends drama  romance            
173,star trek,2009,127 min,action  adventure  sci-fi            ,7.9,the brash james t kirk tries to live up to his fathers legacy with mr spock keeping him in check as a vengeful romulan from the future creates black holes to destroy the federation one planet at a time,the brash james t kirk tries to live up to his fathers legacy with mr spock keeping him in check as a vengeful romulan from the future creates black holes to destroy the federation one planet at a time action  adventure  sci-fi            
174,the notebook,2004,123 min,drama  romance            ,7.8,a poor yet passionate young man falls in love with a rich young woman giving her a sense of freedom but they are soon separated because of their social differences,a poor yet passionate young man falls in love with a rich young woman giving her a sense of freedom but they are soon separated because of their social differences drama  romance            
175,city of god,2002,130 min,crime  drama            ,8.6,in the slums of rio two kids paths diverge as one struggles to become a photographer and the other a kingpin,in the slums of rio two kids paths diverge as one struggles to become a photographer and the other a kingpin crime  drama            
176,the breakfast club,1985,97 min,comedy  drama            ,7.8,five high school students meet in saturday detention and discover how they have a lot more in common than they thought,five high school students meet in saturday detention and discover how they have a lot more in common than they thought comedy  drama            
177,dances with wolves,1990,181 min,adventure  drama  western            ,8.0,lieutenant john dunbar assigned to a remote western civil war outpost befriends wolves and indians making him an intolerable aberration in the military,lieutenant john dunbar assigned to a remote western civil war outpost befriends wolves and indians making him an intolerable aberration in the military adventure  drama  western            
178,wind river,2017,107 min,crime  drama  mystery            ,7.7,a veteran hunter helps an fbi agent investigate the murder of a young woman on a wyoming native american reservation,a veteran hunter helps an fbi agent investigate the murder of a young woman on a wyoming native american reservation crime  drama  mystery            
179,the exorcist,1973,122 min,horror            ,8.0,when a 12yearold girl is possessed by a mysterious entity her mother seeks the help of two priests to save her,when a 12yearold girl is possessed by a mysterious entity her mother seeks the help of two priests to save her horror            
180,full metal jacket,1987,116 min,drama  war            ,8.3,a pragmatic us marine observes the dehumanizing effects the vietnam war has on his fellow recruits from their brutal boot camp training to the bloody street fighting in hue,a pragmatic us marine observes the dehumanizing effects the vietnam war has on his fellow recruits from their brutal boot camp training to the bloody street fighting in hue drama  war            
181,zootopia,2016,108 min,animation  adventure  comedy            ,8.0,in a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy,in a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy animation  adventure  comedy            
182,the intouchables,2011,112 min,biography  comedy  drama            ,8.5,after he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver,after he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver biography  comedy  drama            
183,zodiac,2007,157 min,crime  drama  mystery            ,7.7,in the late 1960searly 1970s a san francisco cartoonist becomes an amateur detective obsessed with tracking down the zodiac killer an unidentified individual who terrorizes northern california with a killing spree,in the late 1960searly 1970s a san francisco cartoonist becomes an amateur detective obsessed with tracking down the zodiac killer an unidentified individual who terrorizes northern california with a killing spree crime  drama  mystery            
184,drive,2011,100 min,crime  drama            ,7.8,a mysterious hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor,a mysterious hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor crime  drama            
185,spotlight,2015,129 min,biography  crime  drama            ,8.1,the true story of how the boston globe uncovered the massive scandal of child molestation and coverup within the local catholic archdiocese shaking the entire catholic church to its core,the true story of how the boston globe uncovered the massive scandal of child molestation and coverup within the local catholic archdiocese shaking the entire catholic church to its core biography  crime  drama            
186,memories of murder,2003,131 min,crime  drama  mystery            ,8.1,in a small korean province in 1986 two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit,in a small korean province in 1986 two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit crime  drama  mystery            
187,the terminator,1984,107 min,action  sci-fi            ,8.0,a human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine sent from the same year which has been programmed to execute a young woman whose unborn son is the key to humanitys future salvation,a human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine sent from the same year which has been programmed to execute a young woman whose unborn son is the key to humanitys future salvation action  sci-fi            
188,the sixth sense,1999,107 min,drama  mystery  thriller            ,8.1,a boy who communicates with spirits seeks the help of a disheartened child psychologist,a boy who communicates with spirits seeks the help of a disheartened child psychologist drama  mystery  thriller            
189,mulholland drive,2001,147 min,drama  mystery  thriller            ,7.9,after a car wreck on the winding mulholland drive renders a woman amnesiac she and a perky hollywoodhopeful search for clues and answers across los angeles in a twisting venture beyond dreams and reality,after a car wreck on the winding mulholland drive renders a woman amnesiac she and a perky hollywoodhopeful search for clues and answers across los angeles in a twisting venture beyond dreams and reality drama  mystery  thriller            
190,la la land,2016,128 min,comedy  drama  music            ,8.0,while navigating their careers in los angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future,while navigating their careers in los angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future comedy  drama  music            
191,the big short,2015,130 min,biography  comedy  drama            ,7.8,in 20062007 a group of investors bet against the us mortgage market in their research they discover how flawed and corrupt the market is,in 20062007 a group of investors bet against the us mortgage market in their research they discover how flawed and corrupt the market is biography  comedy  drama            
192,the revenant,2015,156 min,action  adventure  drama            ,8.0,a frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team,a frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team action  adventure  drama            
193,once upon a time in america,1984,229 min,crime  drama            ,8.4,a former prohibitionera jewish gangster returns to the lower east side of manhattan over thirty years later where he once again must confront the ghosts and regrets of his old life,a former prohibitionera jewish gangster returns to the lower east side of manhattan over thirty years later where he once again must confront the ghosts and regrets of his old life crime  drama            
194,room,2015,118 min,drama  thriller            ,8.1,held captive for 7 years in an enclosed space a woman and her young son finally gain their freedom allowing the boy to experience the outside world for the first time,held captive for 7 years in an enclosed space a woman and her young son finally gain their freedom allowing the boy to experience the outside world for the first time drama  thriller            
195,coco,2017,105 min,animation  adventure  drama            ,8.4,aspiring musician miguel confronted with his familys ancestral ban on music enters the land of the dead to find his greatgreatgrandfather a legendary singer,aspiring musician miguel confronted with his familys ancestral ban on music enters the land of the dead to find his greatgreatgrandfather a legendary singer animation  adventure  drama            
196,casino,1995,178 min,crime  drama            ,8.2,a tale of greed deception money power and murder occur between two best friends a mafia enforcer and a casino executive compete against each other over a gambling empire and over a fastliving and fastloving socialite,a tale of greed deception money power and murder occur between two best friends a mafia enforcer and a casino executive compete against each other over a gambling empire and over a fastliving and fastloving socialite crime  drama            
197,stand by me,1986,89 min,adventure  drama            ,8.1,after the death of one of his friends a writer recounts a childhood journey with his friends to find the body of a missing boy,after the death of one of his friends a writer recounts a childhood journey with his friends to find the body of a missing boy adventure  drama            
198,tombstone,1993,130 min,action  biography  drama            ,7.8,a successful lawmans plans to retire anonymously in tombstone arizona are disrupted by the kind of outlaws he was famous for eliminating,a successful lawmans plans to retire anonymously in tombstone arizona are disrupted by the kind of outlaws he was famous for eliminating action  biography  drama            
199,the incredibles,2004,115 min,animation  action  adventure            ,8.0,a family of undercover superheroes while trying to live the quiet suburban life are forced into action to save the world,a family of undercover superheroes while trying to live the quiet suburban life are forced into action to save the world animation  action  adventure            
200,nightcrawler,2014,117 min,crime  drama  thriller            ,7.8,when louis bloom a con man desperate for work muscles into the world of la crime journalism he blurs the line between observer and participant to become the star of his own story,when louis bloom a con man desperate for work muscles into the world of la crime journalism he blurs the line between observer and participant to become the star of his own story crime  drama  thriller            
201,inside out,2015,95 min,animation  adventure  comedy            ,8.1,after young riley is uprooted from her midwest life and moved to san francisco her emotions  joy fear anger disgust and sadness  conflict on how best to navigate a new city house and school,after young riley is uprooted from her midwest life and moved to san francisco her emotions  joy fear anger disgust and sadness  conflict on how best to navigate a new city house and school animation  adventure  comedy            
202,the girl with the dragon tattoo,2011,158 min,crime  drama  mystery            ,7.8,journalist mikael blomkvist is aided in his search for a woman who has been missing for forty years by lisbeth salander a young computer hacker,journalist mikael blomkvist is aided in his search for a woman who has been missing for forty years by lisbeth salander a young computer hacker crime  drama  mystery            
203,her,2013,126 min,drama  romance  sci-fi            ,8.0,in a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need,in a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need drama  romance  sci-fi            
204,black hawk down,2001,144 min,drama  history  war            ,7.7,160 elite us soldiers drop into somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavilyarmed somalis,160 elite us soldiers drop into somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavilyarmed somalis drama  history  war            
205,star wars: episode vii - the force awakens,2015,138 min,action  adventure  sci-fi            ,7.9,as a new threat to the galaxy rises rey a desert scavenger and finn an exstormtrooper must join han solo and chewbacca to search for the one hope of restoring peace,as a new threat to the galaxy rises rey a desert scavenger and finn an exstormtrooper must join han solo and chewbacca to search for the one hope of restoring peace action  adventure  sci-fi            
206,moonrise kingdom,2012,94 min,comedy  drama  romance            ,7.8,a pair of young lovers flee their new england town which causes a local search party to fan out to find them,a pair of young lovers flee their new england town which causes a local search party to fan out to find them comedy  drama  romance            
207,(500) days of summer,2009,95 min,comedy  drama  romance            ,7.7,an offbeat romantic comedy about a woman who doesnt believe true love exists and the young man who falls for her,an offbeat romantic comedy about a woman who doesnt believe true love exists and the young man who falls for her comedy  drama  romance            
208,the sandlot kids,1993,101 min,comedy  drama  family            ,7.8,in the summer of 1962 a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team resulting in many adventures,in the summer of 1962 a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team resulting in many adventures comedy  drama  family            
209,shrek,2001,90 min,animation  adventure  comedy            ,7.9,a mean lord exiles fairytale creatures to the swamp of a grumpy ogre who must go on a quest and rescue a princess for the lord in order to get his land back,a mean lord exiles fairytale creatures to the swamp of a grumpy ogre who must go on a quest and rescue a princess for the lord in order to get his land back animation  adventure  comedy            
210,the blind side,2009,129 min,biography  drama  sport            ,7.6,the story of michael oher a homeless and traumatized boy who became an allamerican football player and firstround nfl draft pick with the help of a caring woman and her family,the story of michael oher a homeless and traumatized boy who became an allamerican football player and firstround nfl draft pick with the help of a caring woman and her family biography  drama  sport            
211,die hard,1988,132 min,action  thriller            ,8.2,an nypd officer tries to save his wife and several others taken hostage by german terrorists during a christmas party at the nakatomi plaza in los angeles,an nypd officer tries to save his wife and several others taken hostage by german terrorists during a christmas party at the nakatomi plaza in los angeles action  thriller            
212,marriage story,2019,137 min,comedy  drama  romance            ,7.9,noah baumbachs incisive and compassionate look at a marriage breaking up and a family staying together,noah baumbachs incisive and compassionate look at a marriage breaking up and a family staying together comedy  drama  romance            
213,your name.,2016,106 min,animation  drama  fantasy            ,8.4,two strangers find themselves linked in a bizarre way when a connection forms will distance be the only thing to keep them apart,two strangers find themselves linked in a bizarre way when a connection forms will distance be the only thing to keep them apart animation  drama  fantasy            
214,pan's labyrinth,2006,118 min,drama  fantasy  war            ,8.2,in the falangist spain of 1944 the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world,in the falangist spain of 1944 the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world drama  fantasy  war            
215,capharnaüm,2018,126 min,drama            ,8.4,while serving a fiveyear sentence for a violent crime a 12yearold boy sues his parents for neglect,while serving a fiveyear sentence for a violent crime a 12yearold boy sues his parents for neglect drama            
216,ocean's eleven,2001,116 min,crime  thriller            ,7.7,danny ocean and his ten accomplices plan to rob three las vegas casinos simultaneously,danny ocean and his ten accomplices plan to rob three las vegas casinos simultaneously crime  thriller            
217,2001: a space odyssey,1968,149 min,adventure  sci-fi            ,8.3,after discovering a mysterious artifact buried beneath the lunar surface mankind sets off on a quest to find its origins with help from intelligent supercomputer hal 9000,after discovering a mysterious artifact buried beneath the lunar surface mankind sets off on a quest to find its origins with help from intelligent supercomputer hal 9000 adventure  sci-fi            
218,a beautiful mind,2001,135 min,biography  drama            ,8.2,after john nash a brilliant but asocial mathematician accepts secret work in cryptography his life takes a turn for the nightmarish,after john nash a brilliant but asocial mathematician accepts secret work in cryptography his life takes a turn for the nightmarish biography  drama            
219,about time,2013,123 min,comedy  drama  fantasy            ,7.8,at the age of 21 tim discovers he can travel in time and change what happens and has happened in his own life his decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think,at the age of 21 tim discovers he can travel in time and change what happens and has happened in his own life his decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think comedy  drama  fantasy            
220,when harry met sally...,1989,95 min,comedy  drama  romance            ,7.6,harry and sally have known each other for years and are very good friends but they fear sex would ruin the friendship,harry and sally have known each other for years and are very good friends but they fear sex would ruin the friendship comedy  drama  romance            
221,argo,2012,120 min,biography  drama  thriller            ,7.7,acting under the cover of a hollywood producer scouting a location for a science fiction film a cia agent launches a dangerous operation to rescue six americans in tehran during the us hostage crisis in iran in 1979,acting under the cover of a hollywood producer scouting a location for a science fiction film a cia agent launches a dangerous operation to rescue six americans in tehran during the us hostage crisis in iran in 1979 biography  drama  thriller            
222,life is beautiful,1997,116 min,comedy  drama  romance            ,8.6,when an openminded jewish librarian and his son become victims of the holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp,when an openminded jewish librarian and his son become victims of the holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp comedy  drama  romance            
223,jaws,1975,124 min,adventure  thriller            ,8.0,when a killer shark unleashes chaos on a beach community its up to a local sheriff a marine biologist and an old seafarer to hunt the beast down,when a killer shark unleashes chaos on a beach community its up to a local sheriff a marine biologist and an old seafarer to hunt the beast down adventure  thriller            
224,atonement,2007,123 min,drama  mystery  romance            ,7.8,thirteenyearold fledgling writer briony tallis irrevocably changes the course of several lives when she accuses her older sisters lover of a crime he did not commit,thirteenyearold fledgling writer briony tallis irrevocably changes the course of several lives when she accuses her older sisters lover of a crime he did not commit drama  mystery  romance            
225,cast away,2000,143 min,adventure  drama  romance            ,7.8,a fedex executive undergoes a physical and emotional transformation after crash landing on a deserted island,a fedex executive undergoes a physical and emotional transformation after crash landing on a deserted island adventure  drama  romance            
226,american history x,1998,119 min,drama            ,8.5,a former neonazi skinhead tries to prevent his younger brother from going down the same wrong path that he did,a former neonazi skinhead tries to prevent his younger brother from going down the same wrong path that he did drama            
227,hidden figures,2016,127 min,biography  drama  history            ,7.8,the story of a team of female africanamerican mathematicians who served a vital role in nasa during the early years of the us space program,the story of a team of female africanamerican mathematicians who served a vital role in nasa during the early years of the us space program biography  drama  history            
228,the perks of being a wallflower,2012,103 min,drama  romance            ,8.0,an introvert freshman is taken under the wings of two seniors who welcome him to the real world,an introvert freshman is taken under the wings of two seniors who welcome him to the real world drama  romance            
229,the wizard of oz,1939,102 min,adventure  family  fantasy            ,8.0,dorothy gale is swept away from a farm in kansas to a magical land of oz in a tornado and embarks on a quest with her new friends to see the wizard who can help her return home to kansas and help her friends as well,dorothy gale is swept away from a farm in kansas to a magical land of oz in a tornado and embarks on a quest with her new friends to see the wizard who can help her return home to kansas and help her friends as well adventure  family  fantasy            
230,trainspotting,1996,93 min,drama            ,8.1,renton deeply immersed in the edinburgh drug scene tries to clean up and get out despite the allure of the drugs and influence of friends,renton deeply immersed in the edinburgh drug scene tries to clean up and get out despite the allure of the drugs and influence of friends drama            
231,star wars: episode v - the empire strikes back,1980,124 min,action  adventure  fantasy            ,8.7,after the rebels are brutally overpowered by the empire on the ice planet hoth luke skywalker begins jedi training with yoda while his friends are pursued by darth vader and a bounty hunter named boba fett all over the galaxy,after the rebels are brutally overpowered by the empire on the ice planet hoth luke skywalker begins jedi training with yoda while his friends are pursued by darth vader and a bounty hunter named boba fett all over the galaxy action  adventure  fantasy            
232,a few good men,1992,138 min,drama  thriller            ,7.7,military lawyer lieutenant daniel kaffee defends marines accused of murder they contend they were acting under orders,military lawyer lieutenant daniel kaffee defends marines accused of murder they contend they were acting under orders drama  thriller            
233,citizen kane,1941,119 min,drama  mystery            ,8.3,following the death of publishing tycoon charles foster kane reporters scramble to uncover the meaning of his final utterance rosebud,following the death of publishing tycoon charles foster kane reporters scramble to uncover the meaning of his final utterance rosebud drama  mystery            
234,v for vendetta,2005,132 min,action  drama  sci-fi            ,8.1,in a future british tyranny a shadowy freedom fighter known only by the alias of v plots to overthrow it with the help of a young woman,in a future british tyranny a shadowy freedom fighter known only by the alias of v plots to overthrow it with the help of a young woman action  drama  sci-fi            
235,l.a. confidential,1997,138 min,crime  drama  mystery            ,8.2,as corruption grows in 1950s los angeles three policemen  one straitlaced one brutal and one sleazy  investigate a series of murders with their own brand of justice,as corruption grows in 1950s los angeles three policemen  one straitlaced one brutal and one sleazy  investigate a series of murders with their own brand of justice crime  drama  mystery            
236,willy wonka & the chocolate factory,1971,100 min,family  fantasy  musical            ,7.8,a poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of willy wonkas mysterious chocolate factory,a poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of willy wonkas mysterious chocolate factory family  fantasy  musical            
237,star wars: episode vi - return of the jedi,1983,131 min,action  adventure  fantasy            ,8.3,after a daring mission to rescue han solo from jabba the hutt the rebels dispatch to endor to destroy the second death star meanwhile luke struggles to help darth vader back from the dark side without falling into the emperors trap,after a daring mission to rescue han solo from jabba the hutt the rebels dispatch to endor to destroy the second death star meanwhile luke struggles to help darth vader back from the dark side without falling into the emperors trap action  adventure  fantasy            
238,"lock, stock and two smoking barrels",1998,107 min,action  comedy  crime            ,8.2,eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster hatchet harry eddy loses after which harry gives him a week to pay back 500000 pounds,eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster hatchet harry eddy loses after which harry gives him a week to pay back 500000 pounds action  comedy  crime            
239,the right stuff,1983,193 min,adventure  biography  drama            ,7.8,the story of the original mercury 7 astronauts and their macho seatofthepants approach to the space program,the story of the original mercury 7 astronauts and their macho seatofthepants approach to the space program adventure  biography  drama            
240,fried green tomatoes,1991,130 min,drama            ,7.7,a housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know,a housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know drama            
241,shaun of the dead,2004,99 min,comedy  horror            ,7.9,a mans uneventful life is disrupted by the zombie apocalypse,a mans uneventful life is disrupted by the zombie apocalypse comedy  horror            
242,the sound of music,1965,172 min,biography  drama  family            ,8.0,a woman leaves an austrian convent to become a governess to the children of a naval officer widower,a woman leaves an austrian convent to become a governess to the children of a naval officer widower biography  drama  family            
243,inside man,2006,129 min,crime  drama  mystery            ,7.6,a police detective a bank robber and a highpower broker enter highstakes negotiations after the criminals brilliant heist spirals into a hostage situation,a police detective a bank robber and a highpower broker enter highstakes negotiations after the criminals brilliant heist spirals into a hostage situation crime  drama  mystery            
244,moneyball,2011,133 min,biography  drama  sport            ,7.6,oakland as general manager billy beanes successful attempt to assemble a baseball team on a lean budget by employing computergenerated analysis to acquire new players,oakland as general manager billy beanes successful attempt to assemble a baseball team on a lean budget by employing computergenerated analysis to acquire new players biography  drama  sport            
245,the last of the mohicans,1992,112 min,action  adventure  drama            ,7.7,three trappers protect the daughters of a british colonel in the midst of the french and indian war,three trappers protect the daughters of a british colonel in the midst of the french and indian war action  adventure  drama            
246,blue is the warmest colour,2013,180 min,drama  romance            ,7.7,adèles life is changed when she meets emma a young woman with blue hair who will allow her to discover desire and to assert herself as a woman and as an adult in front of others adèle grows seeks herself loses herself and ultimately finds herself through love and loss,adèles life is changed when she meets emma a young woman with blue hair who will allow her to discover desire and to assert herself as a woman and as an adult in front of others adèle grows seeks herself loses herself and ultimately finds herself through love and loss drama  romance            
247,scent of a woman,1992,156 min,drama            ,8.0,a prep school student needing money agrees to babysit a blind man but the job is not at all what he anticipated,a prep school student needing money agrees to babysit a blind man but the job is not at all what he anticipated drama            
248,the peanut butter falcon,2019,97 min,adventure  comedy  drama            ,7.6,zak runs away from his care home to make his dream of becoming a wrestler come true,zak runs away from his care home to make his dream of becoming a wrestler come true adventure  comedy  drama            
249,toy story,1995,81 min,animation  adventure  comedy            ,8.3,a cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room,a cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room animation  adventure  comedy            
250,harry potter and the prisoner of azkaban,2004,142 min,adventure  family  fantasy            ,7.9,harry potter ron and hermione return to hogwarts school of witchcraft and wizardry for their third year of study where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard,harry potter ron and hermione return to hogwarts school of witchcraft and wizardry for their third year of study where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard adventure  family  fantasy            
251,the taking of pelham one two three,1974,104 min,action  crime  thriller            ,7.7,in new york armed men hijack a subway car and demand a ransom for the passengers even if its paid how could they get away,in new york armed men hijack a subway car and demand a ransom for the passengers even if its paid how could they get away action  crime  thriller            
252,minority report,2002,145 min,action  crime  mystery            ,7.6,in a future where a special police unit is able to arrest murderers before they commit their crimes an officer from that unit is himself accused of a future murder,in a future where a special police unit is able to arrest murderers before they commit their crimes an officer from that unit is himself accused of a future murder action  crime  mystery            
253,training day,2001,122 min,crime  drama  thriller            ,7.7,a rookie cop spends his first day as a los angeles narcotics officer with a rogue detective who isnt what he appears to be,a rookie cop spends his first day as a los angeles narcotics officer with a rogue detective who isnt what he appears to be crime  drama  thriller            
254,rear window,1954,112 min,mystery  thriller            ,8.5,a wheelchairbound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder,a wheelchairbound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder mystery  thriller            
255,tangled,2010,100 min,animation  adventure  comedy            ,7.7,the magically longhaired rapunzel has spent her entire life in a tower but now that a runaway thief has stumbled upon her she is about to discover the world for the first time and who she really is,the magically longhaired rapunzel has spent her entire life in a tower but now that a runaway thief has stumbled upon her she is about to discover the world for the first time and who she really is animation  adventure  comedy            
256,incendies,2010,131 min,drama  mystery  war            ,8.3,twins journey to the middle east to discover their family history and fulfill their mothers last wishes,twins journey to the middle east to discover their family history and fulfill their mothers last wishes drama  mystery  war            
257,the skin i live in,2011,120 min,drama  horror  thriller            ,7.6,a brilliant plastic surgeon haunted by past tragedies creates a type of synthetic skin that withstands any kind of damage his guinea pig a mysterious and volatile woman who holds the key to his obsession,a brilliant plastic surgeon haunted by past tragedies creates a type of synthetic skin that withstands any kind of damage his guinea pig a mysterious and volatile woman who holds the key to his obsession drama  horror  thriller            
258,the godfather: part iii,1990,162 min,crime  drama            ,7.6,follows michael corleone now in his 60s as he seeks to free his family from crime and find a suitable successor to his empire,follows michael corleone now in his 60s as he seeks to free his family from crime and find a suitable successor to his empire crime  drama            
259,warrior,2011,140 min,action  drama  sport            ,8.1,the youngest son of an alcoholic former boxer returns home where hes trained by his father for competition in a mixed martial arts tournament  a path that puts the fighter on a collision course with his estranged older brother,the youngest son of an alcoholic former boxer returns home where hes trained by his father for competition in a mixed martial arts tournament  a path that puts the fighter on a collision course with his estranged older brother action  drama  sport            
260,the curious case of benjamin button,2008,166 min,drama  fantasy  romance            ,7.8,tells the story of benjamin button a man who starts aging backwards with consequences,tells the story of benjamin button a man who starts aging backwards with consequences drama  fantasy  romance            
261,amadeus,1984,160 min,biography  drama  history            ,8.3,the life success and troubles of wolfgang amadeus mozart as told by antonio salieri the contemporaneous composer who was insanely jealous of mozarts talent and claimed to have murdered him,the life success and troubles of wolfgang amadeus mozart as told by antonio salieri the contemporaneous composer who was insanely jealous of mozarts talent and claimed to have murdered him biography  drama  history            
262,apocalypto,2006,139 min,action  adventure  drama            ,7.8,as the mayan kingdom faces its decline a young man is taken on a perilous journey to a world ruled by fear and oppression,as the mayan kingdom faces its decline a young man is taken on a perilous journey to a world ruled by fear and oppression action  adventure  drama            
263,sin city,2005,124 min,crime  thriller            ,8.0,an exploration of the dark and miserable basin city and three of its residents all of whom are caught up in violent corruption,an exploration of the dark and miserable basin city and three of its residents all of whom are caught up in violent corruption crime  thriller            
264,12 years a slave,2013,134 min,biography  drama  history            ,8.1,in the antebellum united states solomon northup a free black man from upstate new york is abducted and sold into slavery,in the antebellum united states solomon northup a free black man from upstate new york is abducted and sold into slavery biography  drama  history            
265,ratatouille,2007,111 min,animation  adventure  comedy            ,8.0,a rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant,a rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant animation  adventure  comedy            
